809,809,808,808,808,809,809,808,809,808
809,809,808,808,809,808,809,808,809,809
809,808,809,809,809,810,807,808,810,809
809,808,809,808,808,809,808,809,808,808
809,808,808,808,808,808,808,809,808,809
809,808,808,808,808,808,807,808,809,809
809,808,808,808,809,808,808,809,808,809
809,810,808,809,809,810,809,809,809,810
809,807,809,809,809,809,808,808,809,809
808,809,809,809,809,809,806,809,810,809
810,809,809,808,809,808,807,809,808,809
809,808,810,809,808,809,809,810,807,809
809,809,808,809,810,808,809,808,808,808
809,808,809,809,808,807,809,807,790,809
809,808,808,809,808,809,808,810,809,808
809,809,808,808,809,808,808,809,809,808
809,809,808,807,809,807,808,809,809,808
808,808,809,809,808,808,808,808,809,808
808,809,809,809,808,809,808,808,807,808
808,808,809,809,808,809,809,808,808,808
808,808,808,808,808,809,808,809,808,808
808,809,808,808,807,808,809,808,808,809
808,809,808,809,807,808,809,809,808,809
808,808,809,809,808,809,809,807,808,808
808,804,806,805,806,807,808,803,807,805
443,447,445,447,445,434,444,443,441,442
324,317,314,314,316,314,320,312,316,315
253,253,251,252,254,253,251,254,258,260
216,211,211,213,212,215,212,215,212,217
182,185,181,181,180,185,182,182,180,181
158,163,158,162,161,161,159,158,162,161
142,135,138,135,136,138,136,138,139,136
121,122,121,121,122,121,123,121,121,121
111,110,110,113,110,113,111,111,112,111
102,101,102,101,103,101,102,102,101,102
94.2,95.0,94.6,94.3,94.9,94.4,96.1,96.2,94.7,94.4
88.2,90.5,88.2,88.9,88.6,88.1,88.9,90.1,88.8,88.4
83.1,82.7,83.3,83.0,82.7,83.3,83.0,82.7,83.3,84.3
78.5,78.2,77.9,78.5,78.2,77.7,78.5,78.2,77.7,79.7
74.1,73.8,73.5,74.0,73.8,73.5,73.9,73.6,74.2,73.9
71.9,72.6,72.3,72.1,73.7,72.1,73.7,74.0,72.1,72.9
68.9,68.5,69.1,69.9,70.1,68.5,69.1,68.8,68.5,69.1
65.3,65.1,65.5,65.3,65.8,65.4,65.1,65.7,65.4,65.1
60.0,60.4,60.1,59.8,60.6,60.2,60.0,60.6,60.3,60.0
808,809,808,809,808,808,809,808,809,808
807,808,806,807,806,810,808,808,808,806
431,426,426,417,427,416,422,431,422,428
243,244,238,246,244,238,238,240,239,244
171,176,170,173,171,171,172,175,175,176
135,143,132,138,139,138,140,139,138,142
114,115,114,114,115,114,114,115,114,114
97.6,97.1,98.1,97.5,97.2,98.0,97.5,97.1,98.0,97.5
85.5,85.0,86.2,85.0,86.3,84.9,85.6,85.3,84.9,85.6
75.9,76.5,76.3,76.0,77.9,76.0,76.5,76.2,75.8,76.5
68.4,68.3,69.8,68.2,68.8,69.5,68.7,69.5,68.6,68.3
63.0,62.6,62.3,62.9,62.6,62.3,62.8,62.6,62.3,62.9
56.8,57.3,57.2,56.7,57.3,57.2,56.7,57.2,57.0,56.7
52.9,54.1,53.0,52.9,53.2,52.9,53.4,53.8,52.9,53.1
48.9,48.8,49.2,48.9,49.3,49.2,48.9,49.3,49.0,48.9
45.2,45.7,45.7,45.4,45.5,45.7,45.8,45.5,45.5,46.0
37.2,37.1,37.7,37.0,37.7,37.3,36.9,37.6,37.3,36.7
38.3,38.8,38.8,38.3,38.8,38.9,38.3,38.6,38.9,38.5
30.8,30.5,30.8,30.8,30.8,31.0,30.5,30.7,31.0,30.7
31.6,31.4,32.2,31.8,31.1,32.0,31.7,31.1,31.9,31.9
32.4,32.3,32.5,32.6,32.3,32.3,32.6,32.3,32.3,32.7
28.5,28.2,28.8,28.2,28.5,28.6,28.2,28.3,28.8,28.2
